"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05","5.11","0.0","64.5","72.4","56.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-06","3.26","0.0","72.3","80.2","64.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-07","3.03","0.0","80.3","88.9","71.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-08","18.95","0.0","75.3","82.9","67.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-09","9.39","0.0","70.0","76.2","63.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-10","6.09","2.9","57.1","63.8","50.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-11","3.05","0.0","51.9","58.5","45.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-12","4.01","0.0","43.3","49.7","36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-01","3.23","4.3","37.3","44.2","30.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-02","1.37","0.2","40.9","46.8","34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-03","0.96","0.0","50.9","59.2","42.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-04","3.56","0.0","54.8","63.6","45.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-05","5.37","0.0","65.1","72.0","58.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-06","2.98","0.0","71.0","79.0","63.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-07","4.21","0.0","78.8","87.3","70.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-08","2.92","0.0","76.7","84.2","69.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-09","4.39","0.0","68.8","75.9","61.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-10","2.93","0.0","58.0","63.7","52.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-11","1.81","4.7","43.9","49.7","38.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012-12","4.80","0.4","41.5","46.3","36.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01","2.76","1.5","35.1","40.8","29.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02","4.25","12.2","33.9","39.4","28.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03","2.89","7.3","40.1","46.3","34.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-04","1.31","0.0","53.0","61.3","44.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-05","8.00","0.0","62.8","71.2","54.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06","10.11","0.0","72.7","80.3","65.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-07","2.84","0.0","79.8","86.3","73.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-08","2.85","0.0","74.6","81.6","67.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09","2.95","0.0","67.9","76.4","59.4"
